CONTROLVAR;DATE;START;END;AMOUNT;INTENSITY
Y;01.01.1986;17.12;17.24;0.4;2.0
Y;12.02.1986;20.18;20.30;1.1;5.5
Y;25.02.1986;19.06;19.36;1.2;2.4
Y;26.02.1986;19.20;19.48;1.0;2.1
Y;26.02.1986;20.05;20.22;0.2;0.7
Y;27.02.1986;0.25;0.55;0.3;0.6
Y;27.02.1986;16.18;16.57;2.0;3.1
Y;27.02.1986;16.57;18.03;1.2;1.1
Y;28.02.1986;17.51;18.02;0.2;1.1
Y;01.03.1986;4.50;5.21;1.1;2.1
Y;01.03.1986;7.38;8.00;0.4;1.1
Y;01.03.1986;8.24;9.12;0.7;0.9
Y;01.03.1986;9.12;10.12;1.1;1.1
Y;02.03.1986;17.48;17.54;5.7;57.0
Y;02.03.1986;17.54;18.21;5.3;11.8
Y;02.03.1986;18.21;18.45;0.9;2.3
Y;02.03.1986;21.45;22.00;0.3;1.2
Y;02.03.1986;22.51;23.09;0.2;0.7
Y;03.03.1986;3.18;3.45;0.4;0.9
Y;06.03.1986;20.36;20.49;0.7;3.2
Y;17.03.1986;15.19;15.30;0.5;2.7
Y;17.03.1986;16.00;16.06;0.1;1.0
Y;19.03.1986;16.33;16.51;0.3;1.0
Y;19.03.1986;17.00;17.12;0.4;2.0
Y;19.03.1986;17.54;17.57;0.1;2.0
Y;19.03.1986;19.09;19.42;0.5;0.9
Y;20.03.1986;14.18;14.24;2.6;26.0
Y;20.03.1986;14.24;14.39;3.0;12.0
Y;20.03.1986;14.39;14.55;0.8;3.0
Y;20.03.1986;14.55;15.21;0.4;0.9
Y;20.03.1986;17.03;17.28;0.3;0.7
Y;20.03.1986;17.44;17.57;0.2;0.9
Y;22.03.1986;17.42;17.48;0.7;7.0
Y;22.03.1986;17.48;17.54;0.3;3.0
Y;25.03.1986;13.54;14.00;0.2;2.0
Y;31.03.1986;15.09;15.24;1.0;4.0
Y;31.03.1986;15.24;15.42;0.2;0.7
Y;31.03.1986;15.42;15.57;0.9;3.6
Y;31.03.1986;15.57;16.15;1.1;3.7
Y;31.03.1986;17.02;17.12;0.2;1.2
Y;31.03.1986;20.26;20.51;0.2;0.5
Y;31.03.1986;21.42;21.48;0.1;1.0
Y;31.03.1986;22.15;22.54;2.4;3.7
Y;31.03.1986;22.54;23.30;0.3;0.5
Y;01.04.1986;22.36;23.09;0.3;0.5
Y;02.04.1986;2.00;2.16;0.6;2.3
Y;02.04.1986;15.39;15.55;2.6;9.8
Y;02.04.1986;15.55;16.00;0.1;1.2
Y;02.04.1986;16.00;16.15;1.2;4.8
Y;02.04.1986;16.15;16.42;0.3;0.7
Y;02.04.1986;16.42;17.12;0.1;0.2
Y;02.04.1986;17.12;18.00;0.8;1.0
Y;02.04.1986;18.00;18.30;0.2;0.4
Y;03.04.1986;20.12;20.18;0.1;1.0
Y;03.04.1986;20.18;20.23;0.9;10.8
Y;03.04.1986;20.23;20.33;0.3;1.8
Y;03.04.1986;20.33;20.45;0.2;1.0
Y;03.04.1986;21.06;21.45;0.8;1.2
Y;04.04.1986;3.18;3.27;0.2;1.3
Y;04.04.1986;4.22;4.28;0.2;2.0
Y;04.04.1986;4.57;5.12;0.6;2.4
Y;04.04.1986;5.12;5.25;1.2;5.5
Y;04.05.1986;18.16;18.24;0.3;2.3
Y;04.05.1986;19.12;19.27;0.7;2.8
Y;04.05.1986;19.27;19.34;0.4;3.4
Y;05.05.1986;22.36;22.39;0.7;14.0
Y;05.05.1986;22.39;22.54;0.6;2.4
Y;05.05.1986;22.54;23.00;0.2;2.0
Y;09.05.1986;22.41;23.00;0.8;2.5
Y;09.05.1986;23.00;23.09;0.1;0.7
Y;15.05.1986;22.36;22.56;0.2;0.6
Y;16.05.1986;21.56;22.00;0.2;3.0
Y;16.05.1986;22.43;22.46;0.1;2.0
Y;22.05.1986;16.24;16.32;0.6;4.5
Y;27.05.1986;2.24;2.39;1.0;4.0
Y;27.05.1986;2.39;2.51;0.2;1.0
Y;27.05.1986;3.00;3.09;0.2;1.3
Y;27.05.1986;4.33;4.42;1.7;11.3
Y;27.05.1986;4.42;4.45;0.5;10.0
Y;27.05.1986;4.45;4.56;3.9;21.3
Y;27.05.1986;4.56;5.10;0.4;1.7
Y;27.05.1986;5.10;5.21;0.4;2.2
Y;27.05.1986;9.25;9.30;13.8;165.6
Y;28.05.1986;18.40;18.51;0.8;4.4
Y;28.05.1986;18.51;18.56;0.2;2.4
Y;28.05.1986;19.13;19.33;24.3;72.9
Y;28.05.1986;19.33;19.41;1.2;9.0
Y;28.05.1986;19.41;20.19;1.0;1.6
Y;28.05.1986;23.15;23.44;0.7;1.4
Y;30.05.1986;21.42;21.47;0.3;3.6
Y;30.05.1986;22.35;22.42;0.3;2.6
Y;30.05.1986;22.57;23.12;0.3;1.2
Y;30.05.1986;23.18;23.35;0.4;1.4
Y;01.06.1986;22.10;22.12;0.3;9.0
Y;01.06.1986;23.17;23.25;0.4;3.0
Y;01.06.1986;23.34;23.48;0.3;1.3
Y;02.06.1986;12.31;12.53;3.9;10.6
Y;02.06.1986;12.53;13.08;0.1;0.4
Y;02.06.1986;14.30;14.40;0.5;3.0
Y;02.06.1986;17.58;18.11;0.2;0.9
Y;03.06.1986;0.12;0.16;0.2;3.0
Y;03.06.1986;0.16;0.19;0.9;18.0
Y;03.06.1986;0.41;0.48;0.4;3.4
Y;03.06.1986;18.16;18.18;0.2;6.0
Y;04.06.1986;17.45;17.57;2.4;12.0
Y;04.06.1986;22.36;22.49;0.5;2.3
Y;04.06.1986;23.18;23.39;0.3;0.9
Y;05.06.1986;12.23;12.46;0.9;2.3
Y;05.06.1986;12.49;12.57;0.4;3.0
Y;05.06.1986;13.44;13.50;0.1;1.0
Y;05.06.1986;14.34;14.41;0.4;3.4
Y;05.06.1986;23.14;23.34;0.4;1.2
Y;05.06.1986;23.37;23.42;0.8;9.6
Y;06.06.1986;17.33;17.48;6.3;25.2
Y;06.06.1986;17.48;18.00;0.4;2.0
Y;06.06.1986;19.56;20.00;0.2;3.0
Y;06.06.1986;22.39;22.46;0.2;1.7
Y;06.06.1986;22.46;22.52;0.3;3.0
Y;06.06.1986;23.12;23.18;4.1;41.0
Y;06.06.1986;23.18;23.21;0.6;12.0
Y;06.06.1986;23.21;23.36;3.3;13.2
Y;06.06.1986;23.48;23.57;1.6;10.7
Y;07.06.1986;0.05;0.10;0.2;2.4
Y;07.06.1986;16.25;16.30;0.2;2.4
Y;07.06.1986;16.30;16.40;3.3;19.8
Y;07.06.1986;18.12;18.27;2.1;8.4
Y;08.06.1986;14.01;14.15;7.4;31.7
Y;08.06.1986;16.33;16.44;2.4;13.1
Y;08.06.1986;16.44;16.57;0.7;3.2
Y;08.06.1986;16.57;17.27;0.5;1.0
Y;08.06.1986;17.35;17.41;0.7;7.0
Y;08.06.1986;17.41;17.51;0.3;1.8
Y;08.06.1986;23.18;23.26;1.0;7.5
Y;08.06.1986;23.26;23.42;0.4;1.5
Y;09.06.1986;0.06;0.12;0.4;4.0
Y;09.06.1986;0.12;0.34;0.5;1.4
Y;09.06.1986;1.12;1.15;0.3;6.0
Y;09.06.1986;2.00;2.10;0.4;2.4
Y;09.06.1986;13.45;13.54;2.5;16.7
Y;09.06.1986;15.42;16.00;0.5;1.7
Y;09.06.1986;21.09;21.24;0.8;3.2
Y;10.06.1986;13.40;13.57;5.6;19.8
Y;10.06.1986;21.39;21.58;1.0;3.2
Y;11.06.1986;12.51;13.09;1.5;5.0
Y;11.06.1986;13.14;13.17;0.7;14.0
Y;11.06.1986;13.20;13.57;9.9;16.1
Y;11.06.1986;15.55;16.19;6.4;16.0
Y;11.06.1986;19.55;20.00;0.6;7.2
Y;11.06.1986;20.00;20.12;0.7;3.5
Y;11.06.1986;22.18;22.21;0.2;4.0
Y;12.06.1986;3.03;3.13;2.0;12.0
Y;12.06.1986;3.13;4.00;0.6;0.8
Y;12.06.1986;15.01;15.12;1.1;6.0
Y;12.06.1986;17.06;17.24;1.2;4.0
Y;12.06.1986;17.40;18.17;0.3;0.5
Y;12.06.1986;22.40;23.55;0.6;0.5
Y;12.06.1986;23.55;23.59;0.3;4.5
Y;13.06.1986;13.15;13.27;5.3;26.5
Y;13.06.1986;14.15;14.25;0.2;1.2
Y;13.06.1986;14.25;14.27;0.2;6.0
Y;13.06.1986;14.27;14.54;0.9;2.0
Y;13.06.1986;15.06;15.10;0.3;4.5
Y;13.06.1986;17.15;17.24;0.4;2.7
Y;13.06.1986;17.24;17.28;0.5;7.5
Y;14.06.1986;13.30;13.44;2.1;9.0
Y;14.06.1986;13.51;14.35;0.7;1.0
Y;14.06.1986;21.52;21.57;0.2;2.4
Y;14.06.1986;22.04;22.09;0.2;2.4
Y;14.06.1986;22.09;22.12;0.4;8.0
Y;14.06.1986;22.12;22.27;0.9;3.6
Y;14.06.1986;22.27;23.12;1.8;2.4
Y;14.06.1986;23.12;23.59;0.8;1.0
Y;15.06.1986;12.55;12.58;1.2;24.0
Y;15.06.1986;13.05;13.35;6.5;13.0
Y;15.06.1986;17.06;17.19;2.3;10.6
Y;16.06.1986;0.42;0.58;0.3;1.1
Y;16.06.1986;1.11;1.39;0.5;1.1
Y;16.06.1986;1.55;2.33;0.5;0.8
Y;16.06.1986;2.33;2.42;1.1;7.3
Y;16.06.1986;2.42;2.56;1.9;8.1
Y;16.06.1986;2.56;3.25;1.8;3.7
Y;16.06.1986;3.25;3.27;0.5;15.0
Y;16.06.1986;3.27;3.42;1.3;5.2
Y;16.06.1986;3.42;3.58;1.6;6.0
Y;16.06.1986;3.58;4.12;1.7;7.3
