MONTH DAY YEAR PRCP TMAX TMIN  
  9  1  1982   0.00  70.00  51.00
  9  2  1982   0.70  66.00  55.00
  9  3  1982   0.15  68.00  60.00
  9  4  1982   0.00  72.00  52.00
  9  5  1982   0.00  69.00  47.00
  9  6  1982   0.00  72.00  54.00
  9  7  1982   0.00  71.00  47.00
  9  8  1982   0.00  65.00  48.00
  9  9  1982   0.00  65.00  44.00
  9 10  1982   0.00  77.00  45.00
  9 11  1982   0.00  82.00  48.00
  9 12  1982   1.42  80.00  48.00
  9 13  1982   0.00  77.00  52.00
  9 14  1982   0.00  73.00  67.00
  9 15  1982   0.00  73.00  53.00
  9 16  1982   0.03  65.00  51.00
  9 17  1982   0.03  68.00  52.00
  9 18  1982   0.00  64.00  48.00
  9 19  1982   0.00  63.00  46.00
  9 20  1982   0.00  64.00  43.00
  9 21  1982   0.33  64.00  47.00
  9 22  1982   0.70  60.00  51.00
  9 23  1982   0.10  55.00  44.00
  9 24  1982   0.27  69.00  48.00
  9 25  1982   0.00  70.00  51.00
  9 26  1982   0.00  68.00  44.00
  9 27  1982   0.00  67.00  51.00
  9 28  1982   0.11  68.00  55.00
  9 29  1982   0.01  70.00  49.00
  9 30  1982   0.00  63.00  42.00
 10  1  1982   0.00  70.00  44.00
 10  2  1982   0.10  62.00  43.00
 10  3  1982   0.00  60.00  38.00
 10  4  1982   0.00  67.00  47.00
 10  5  1982   0.00  68.00  41.00
 10  6  1982   0.00  72.00  41.00
 10  7  1982   0.00  72.00  46.00
 10  8  1982   0.48  51.00  44.00
 10  9  1982   0.71  52.00  43.00
 10 10  1982   0.00  51.00  33.00
 10 11  1982   0.00  57.00  31.00
 10 12  1982   0.00  56.00  37.00
 10 13  1982   1.24  55.00  48.00
 10 14  1982   0.05  58.00  43.00
 10 15  1982   0.00  58.00  43.00
 10 16  1982   0.00  60.00  39.00
 10 17  1982   0.00  51.00  35.00
 10 18  1982   0.00  55.00  32.00
 10 19  1982   0.00  59.00  37.00
 10 20  1982   0.00  61.00  52.00
 10 21  1982   0.08  61.00  44.00
 10 22  1982   0.00  60.00  31.00
 10 23  1982   0.00  48.00  26.00
 10 24  1982   0.00  47.00  30.00
 10 25  1982   0.00  56.00  34.00
 10 26  1982   0.00  57.00  39.00
 10 27  1982   0.00  59.00  34.00
 10 28  1982   0.00  64.00  36.00
 10 29  1982   0.00  65.00  47.00
 10 30  1982   0.00  66.00  48.00
 10 31  1982   0.00  65.00  48.00
 11  1  1982   0.02  65.00  50.00
 11  2  1982   0.13  50.00  46.00
 11  3  1982   0.00  56.00  48.00
 11  4  1982   1.70  62.00  55.00
 11  5  1982   0.00  67.00  58.00
 11  6  1982   0.05  60.00  33.00
 11  7  1982   0.00  45.00  32.00
 11  8  1982   0.00  54.00  38.00
 11  9  1982   0.00  55.00  32.00
 11 10  1982   0.00  43.00  28.00
 11 11  1982   0.00  48.00  25.00
 11 12  1982   0.20  55.00  44.00
 11 13  1982   0.75  61.00  42.00
 11 14  1982   0.14  48.00  28.00
 11 15  1982   0.90  45.00  24.00
 11 16  1982   0.20  40.00  25.00
 11 17  1982   0.00  48.00  27.00
 11 18  1982   0.00  46.00  29.00
 11 19  1982   0.00  50.00  38.00
 11 20  1982   0.00  50.00  38.00
 11 21  1982   0.00  53.00  40.00
 11 22  1982   0.24  54.00  41.00
 11 23  1982   0.05  54.00  49.00
 11 24  1982   0.00  54.00  48.00
 11 25  1982   0.00 -999.00  18.00
 11 26  1982   0.00  50.00  22.00
 11 27  1982   0.00  36.00  22.00
 11 28  1982   0.69  32.00   8.00
 11 29  1982   0.00  40.00  20.00
 11 30  1982   0.00  43.00  32.00
 12  1  1982   0.00  42.00  33.00
 12  2  1982   0.00  48.00  37.00
 12  3  1982   0.00  47.00  34.00
 12  4  1982   0.00  55.00  40.00
 12  5  1982   0.02  63.00  34.00
 12  6  1982   0.05  57.00  38.00
 12  7  1982   0.00  57.00  38.00
 12  8  1982   0.00  56.00  23.00
 12  9  1982   0.10  41.00  23.00
 12 10  1982   0.11  29.00  -4.00
 12 11  1982   0.42  31.00   4.00
 12 12  1982   0.00  34.00   9.00
 12 13  1982   0.00  10.00  -8.00
 12 14  1982   0.00  14.00  -8.00
 12 15  1982   0.00  32.00  14.00
 12 16  1982   0.00  40.00  16.00
 12 17  1982   0.70  50.00  35.00
 12 18  1982   0.00 -999.00   6.00
 12 19  1982   0.00  25.00  15.00
 12 20  1982   0.00  27.00  20.00
 12 21  1982   0.41  29.00  20.00
 12 22  1982   0.00  33.00  14.00
 12 23  1982   0.00  29.00   8.00
 12 24  1982   0.00  31.00  12.00
 12 25  1982   0.00  45.00  30.00
 12 26  1982   0.58  52.00  35.00
 12 27  1982   0.00  55.00  23.00
 12 28  1982   0.25  43.00  23.00
 12 29  1982   0.05  56.00  43.00
 12 30  1982   0.00  57.00  27.00
 12 31  1982   0.00  35.00  23.00
  1  1  1983   0.02  40.00  23.00
  1  2  1983   0.00  38.00  28.00
  1  3  1983   0.00  41.00  11.00
  1  4  1983   0.00  23.00  -5.00
  1  5  1983   0.00  28.00  -5.00
  1  6  1983   0.10  40.00  23.00
  1  7  1983   0.00  42.00  22.00
  1  8  1983   0.30  42.00  28.00
  1  9  1983   0.00  38.00   4.00
  1 10  1983   0.00  23.00   5.00
  1 11  1983   0.00  50.00  22.00
  1 12  1983   0.63  52.00  34.00
  1 13  1983   0.08 -999.00  10.00
  1 14  1983   0.00  26.00  12.00
  1 15  1983   0.00  30.00  20.00
  1 16  1983   0.90  30.00  21.00
  1 17  1983   0.10  28.00  15.00
  1 18  1983   0.00  29.00   1.00
  1 19  1983   0.00  10.00 -11.00
  1 20  1983   0.00   9.00  -9.00
  1 21  1983   0.00  16.00  -7.00
  1 22  1983   0.00  20.00   5.00
  1 23  1983   0.00  30.00  14.00
  1 24  1983   1.20  46.00  14.00
  1 25  1983   0.00  45.00  29.00
  1 26  1983   0.00  45.00  18.00
  1 27  1983   0.00  20.00   7.00
  1 28  1983   0.00  25.00  11.00
  1 29  1983   0.00  28.00  12.00
  1 30  1983   0.00  36.00  14.00
  1 31  1983   0.90  35.00  28.00
  2  1  1983   0.00  37.00  27.00
  2  2  1983   0.00  39.00  21.00
  2  3  1983   0.00  41.00  21.00
  2  4  1983   0.52  48.00  37.00
  2  5  1983   0.06  41.00  12.00
  2  6  1983   0.00 -999.00 -999.00
  2  7  1983   0.00  22.00   9.00
  2  8  1983   1.58  28.00  13.00
  2  9  1983   0.01  28.00  18.00
  2 10  1983   0.00  26.00  -3.00
  2 11  1983   0.00  17.00  -6.00
  2 12  1983   0.00  21.00  -4.00
  2 13  1983   0.79  22.00  -4.00
  2 14  1983   0.00  33.00  12.00
  2 15  1983   0.00  41.00  24.00
  2 16  1983   0.00  42.00  14.00
  2 17  1983   0.00  33.00  15.00
  2 18  1983   0.87  37.00  21.00
  2 19  1983   0.00  38.00  15.00
  2 20  1983   0.00  35.00  15.00
  2 21  1983   0.00  38.00  13.00
  2 22  1983   0.00  30.00  17.00
  2 23  1983   0.00  38.00  18.00
  2 24  1983   0.65  33.00  19.00
  2 25  1983   0.00  31.00  14.00
  2 26  1983   0.00  34.00  11.00
  2 27  1983   0.00  28.00  10.00
  2 28  1983   0.00  44.00  23.00
  3  1  1983   0.00  46.00  30.00
  3  2  1983   0.42  47.00  33.00
  3  3  1983   1.58  38.00  28.00
  3  4  1983   0.05  38.00  23.00
  3  5  1983   0.00  41.00  15.00
  3  6  1983   0.00  40.00  22.00
  3  7  1983   0.00  46.00  27.00
  3  8  1983   0.00  36.00  26.00
  3  9  1983   0.00  36.00  28.00
  3 10  1983   1.00  36.00  30.00
  3 11  1983   0.00  38.00  31.00
  3 12  1983   1.25  36.00  30.00
  3 13  1983   0.00  36.00  32.00
  3 14  1983   0.00  39.00  30.00
  3 15  1983   0.00  43.00  32.00
  3 16  1983   0.00  45.00  31.00
  3 17  1983   0.00  45.00  30.00
  3 18  1983   0.00  42.00  30.00
  3 19  1983   0.03  43.00  30.00
  3 20  1983   1.60  46.00  38.00
  3 21  1983   0.02  46.00  29.00
