COOPID,CD,ELEM,UN,YEAR,MO,DA,TIME, VALUE,F,F
------,--,----,--,----,--,--,----,------,-,-
134381,00,QPCP,HT,1990,01,01,0015, 99999,{, 
134381,00,QPCP,HT,1990,01,01,2500, 00000,P, 
134381,00,QPCP,HT,1990,01,31,2400, 99999,}, 
134381,00,QPCP,HT,1990,01,31,2500, 00000,P, 
134381,00,QPCP,HT,1990,02,01,0015, 99999,{, 
134381,00,QPCP,HT,1990,02,01,2500, 00000,P, 
134381,00,QPCP,HT,1990,02,28,2400, 99999,}, 
134381,00,QPCP,HT,1990,02,28,2500, 00000,P, 
134381,00,QPCP,HT,1990,03,01,0015, 00000,g, 
134381,00,QPCP,HT,1990,03,01,0815, 99999,{, 
134381,00,QPCP,HT,1990,03,01,2500, 00000,P, 
134381,00,QPCP,HT,1990,03,15,1530, 99999,}, 
134381,00,QPCP,HT,1990,03,15,2500, 00000,P, 
134381,00,QPCP,HT,1990,03,22,0515, 00010, , 
134381,00,QPCP,HT,1990,03,22,0600, 00010, , 
134381,00,QPCP,HT,1990,03,22,2500, 00020, , 
134381,00,QPCP,HT,1990,03,29,0130, 00010, , 
134381,00,QPCP,HT,1990,03,29,2500, 00010, , 
134381,00,QPCP,HT,1990,04,01,0015, 00000,g, 
134381,00,QPCP,HT,1990,04,01,1545, 00010, , 
134381,00,QPCP,HT,1990,04,01,2500, 00010, , 
134381,00,QPCP,HT,1990,04,09,0500, 00010, , 
134381,00,QPCP,HT,1990,04,09,1930, 00010, , 
134381,00,QPCP,HT,1990,04,09,2130, 00010, , 
134381,00,QPCP,HT,1990,04,09,2215, 00010, , 
134381,00,QPCP,HT,1990,04,09,2230, 00010, , 
134381,00,QPCP,HT,1990,04,09,2500, 00050, , 
134381,00,QPCP,HT,1990,04,10,0115, 00010, , 
134381,00,QPCP,HT,1990,04,10,2500, 00010, , 
134381,00,QPCP,HT,1990,04,13,0645, 00010, , 
134381,00,QPCP,HT,1990,04,13,0945, 00010, , 
134381,00,QPCP,HT,1990,04,13,1115, 00010, , 
134381,00,QPCP,HT,1990,04,13,1700, 00010, , 
134381,00,QPCP,HT,1990,04,13,1730, 00010, , 
134381,00,QPCP,HT,1990,04,13,1800, 00010, , 
134381,00,QPCP,HT,1990,04,13,1900, 00010, , 
134381,00,QPCP,HT,1990,04,13,2500, 00070, , 
134381,00,QPCP,HT,1990,04,15,0615, 00010, , 
134381,00,QPCP,HT,1990,04,15,2500, 00010, , 
134381,00,QPCP,HT,1990,04,16,1830, 00010, , 
134381,00,QPCP,HT,1990,04,16,2500, 00010, , 
134381,00,QPCP,HT,1990,04,19,0945, 00010, , 
134381,00,QPCP,HT,1990,04,19,2500, 00010, , 
134381,00,QPCP,HT,1990,04,20,0445, 00010, , 
134381,00,QPCP,HT,1990,04,20,2500, 00010, , 
134381,00,QPCP,HT,1990,04,26,1115, 00010, , 
134381,00,QPCP,HT,1990,04,26,2500, 00010, , 
134381,00,QPCP,HT,1990,04,27,1115, 00010, , 
134381,00,QPCP,HT,1990,04,27,1530, 00030, , 
134381,00,QPCP,HT,1990,04,27,1545, 00030, , 
134381,00,QPCP,HT,1990,04,27,1845, 00010, , 
134381,00,QPCP,HT,1990,04,27,2500, 00080, , 
134381,00,QPCP,HT,1990,04,28,0745, 00010, , 
134381,00,QPCP,HT,1990,04,28,2500, 00010, , 
134381,00,QPCP,HT,1990,05,01,0015, 00000,g, 
134381,00,QPCP,HT,1990,05,01,2500, 00000, , 
134381,00,QPCP,HT,1990,05,03,1600, 00010, , 
134381,00,QPCP,HT,1990,05,03,2100, 00010, , 
134381,00,QPCP,HT,1990,05,03,2130, 00010, , 
134381,00,QPCP,HT,1990,05,03,2315, 00010, , 
134381,00,QPCP,HT,1990,05,03,2345, 00030, , 
134381,00,QPCP,HT,1990,05,03,2400, 00020, , 
134381,00,QPCP,HT,1990,05,03,2500, 00090, , 
134381,00,QPCP,HT,1990,05,04,0030, 00010, , 
134381,00,QPCP,HT,1990,05,04,0045, 00010, , 
134381,00,QPCP,HT,1990,05,04,0200, 00010, , 
134381,00,QPCP,HT,1990,05,04,0245, 00010, , 
134381,00,QPCP,HT,1990,05,04,0315, 00010, , 
134381,00,QPCP,HT,1990,05,04,0330, 00020, , 
134381,00,QPCP,HT,1990,05,04,0345, 00010, , 
134381,00,QPCP,HT,1990,05,04,0445, 00010, , 
134381,00,QPCP,HT,1990,05,04,0530, 00010, , 
134381,00,QPCP,HT,1990,05,04,2500, 00100, , 
134381,00,QPCP,HT,1990,05,05,1815, 00010, , 
134381,00,QPCP,HT,1990,05,05,1900, 00010, , 
134381,00,QPCP,HT,1990,05,05,2500, 00020, , 
134381,00,QPCP,HT,1990,05,09,0845, 00010, , 
134381,00,QPCP,HT,1990,05,09,0915, 00010, , 
134381,00,QPCP,HT,1990,05,09,1200, 00010, , 
134381,00,QPCP,HT,1990,05,09,1215, 00010, , 
134381,00,QPCP,HT,1990,05,09,1330, 00010, , 
134381,00,QPCP,HT,1990,05,09,1430, 00010, , 
134381,00,QPCP,HT,1990,05,09,1445, 00010, , 
134381,00,QPCP,HT,1990,05,09,1615, 00030, , 
134381,00,QPCP,HT,1990,05,09,2015, 00010, , 
134381,00,QPCP,HT,1990,05,09,2500, 00110, , 
134381,00,QPCP,HT,1990,05,12,0045, 00010, , 
134381,00,QPCP,HT,1990,05,12,0215, 00010, , 
134381,00,QPCP,HT,1990,05,12,0300, 00010, , 
134381,00,QPCP,HT,1990,05,12,0315, 00010, , 
134381,00,QPCP,HT,1990,05,12,0330, 00010, , 
134381,00,QPCP,HT,1990,05,12,0345, 00010, , 
134381,00,QPCP,HT,1990,05,12,0400, 00010, , 
134381,00,QPCP,HT,1990,05,12,0515, 00010, , 
134381,00,QPCP,HT,1990,05,12,0800, 00010, , 
134381,00,QPCP,HT,1990,05,12,0915, 00010, , 
134381,00,QPCP,HT,1990,05,12,2500, 00100, , 
134381,00,QPCP,HT,1990,05,14,0630, 00010, , 
134381,00,QPCP,HT,1990,05,14,0700, 00010, , 
134381,00,QPCP,HT,1990,05,14,0730, 00010, , 
134381,00,QPCP,HT,1990,05,14,2500, 00030, , 
134381,00,QPCP,HT,1990,05,15,1230, 00010, , 
134381,00,QPCP,HT,1990,05,15,1245, 00010, , 
134381,00,QPCP,HT,1990,05,15,1445, 00010, , 
134381,00,QPCP,HT,1990,05,15,2500, 00030, , 
134381,00,QPCP,HT,1990,05,16,1845, 00010, , 
134381,00,QPCP,HT,1990,05,16,2200, 00010, , 
134381,00,QPCP,HT,1990,05,16,2500, 00020, , 
134381,00,QPCP,HT,1990,05,19,0645, 00010, , 
134381,00,QPCP,HT,1990,05,19,0730, 00010, , 
134381,00,QPCP,HT,1990,05,19,0830, 00010, , 
134381,00,QPCP,HT,1990,05,19,2500, 00030, , 
134381,00,QPCP,HT,1990,05,22,1715, 00010, , 
134381,00,QPCP,HT,1990,05,22,2500, 00010, , 
134381,00,QPCP,HT,1990,05,24,2045, 00010, , 
134381,00,QPCP,HT,1990,05,24,2200, 00010, , 
134381,00,QPCP,HT,1990,05,24,2500, 00020, , 
134381,00,QPCP,HT,1990,05,25,0115, 00010, , 
134381,00,QPCP,HT,1990,05,25,0245, 00010, , 
134381,00,QPCP,HT,1990,05,25,0430, 00010, , 
134381,00,QPCP,HT,1990,05,25,0445, 00010, , 
134381,00,QPCP,HT,1990,05,25,0500, 00010, , 
134381,00,QPCP,HT,1990,05,25,0515, 00010, , 
134381,00,QPCP,HT,1990,05,25,0530, 00020, , 
134381,00,QPCP,HT,1990,05,25,0545, 00020, , 
134381,00,QPCP,HT,1990,05,25,0600, 00010, , 
134381,00,QPCP,HT,1990,05,25,0615, 00010, , 
134381,00,QPCP,HT,1990,05,25,0630, 00020, , 
134381,00,QPCP,HT,1990,05,25,0645, 00010, , 
134381,00,QPCP,HT,1990,05,25,0715, 00010, , 
134381,00,QPCP,HT,1990,05,25,0730, 00010, , 
134381,00,QPCP,HT,1990,05,25,0800, 00010, , 
134381,00,QPCP,HT,1990,05,25,0915, 00010, , 
134381,00,QPCP,HT,1990,05,25,2500, 00190, , 
134381,00,QPCP,HT,1990,06,01,0015, 00000,g, 
134381,00,QPCP,HT,1990,06,01,2500, 00000, , 
134381,00,QPCP,HT,1990,06,06,0930, 00010, , 
134381,00,QPCP,HT,1990,06,06,1415, 00010, , 
134381,00,QPCP,HT,1990,06,06,2500, 00020, , 
134381,00,QPCP,HT,1990,06,07,1300, 00010, , 
134381,00,QPCP,HT,1990,06,07,1430, 00010, , 
134381,00,QPCP,HT,1990,06,07,1445, 00020, , 
134381,00,QPCP,HT,1990,06,07,1500, 00010, , 
134381,00,QPCP,HT,1990,06,07,1515, 00010, , 
134381,00,QPCP,HT,1990,06,07,1530, 00010, , 
134381,00,QPCP,HT,1990,06,07,1630, 00010, , 
134381,00,QPCP,HT,1990,06,07,1945, 00040, , 
134381,00,QPCP,HT,1990,06,07,2015, 00010, , 
134381,00,QPCP,HT,1990,06,07,2500, 00130, , 
134381,00,QPCP,HT,1990,06,13,1745, 00090, , 
134381,00,QPCP,HT,1990,06,13,1800, 00020, , 
134381,00,QPCP,HT,1990,06,13,2045, 00010, , 
134381,00,QPCP,HT,1990,06,13,2100, 00020, , 
134381,00,QPCP,HT,1990,06,13,2130, 00010, , 
134381,00,QPCP,HT,1990,06,13,2145, 00010, , 
134381,00,QPCP,HT,1990,06,13,2200, 00020, , 
134381,00,QPCP,HT,1990,06,13,2330, 00010, , 
134381,00,QPCP,HT,1990,06,13,2500, 00190, , 
134381,00,QPCP,HT,1990,06,14,0030, 00010, , 
134381,00,QPCP,HT,1990,06,14,0130, 00030, , 
134381,00,QPCP,HT,1990,06,14,0145, 00040, , 
134381,00,QPCP,HT,1990,06,14,0200, 00020, , 
134381,00,QPCP,HT,1990,06,14,0215, 00010, , 
134381,00,QPCP,HT,1990,06,14,0230, 00010, , 
134381,00,QPCP,HT,1990,06,14,0300, 00010, , 
134381,00,QPCP,HT,1990,06,14,0415, 00010, , 
134381,00,QPCP,HT,1990,06,14,0615, 00010, , 
134381,00,QPCP,HT,1990,06,14,0700, 00010, , 
134381,00,QPCP,HT,1990,06,14,2500, 00160, , 
134381,00,QPCP,HT,1990,06,16,1630, 00020, , 
134381,00,QPCP,HT,1990,06,16,1645, 00050, , 
134381,00,QPCP,HT,1990,06,16,1700, 00060, , 
134381,00,QPCP,HT,1990,06,16,1715, 00010, , 
134381,00,QPCP,HT,1990,06,16,1745, 00050, , 
134381,00,QPCP,HT,1990,06,16,1800, 00020, , 
134381,00,QPCP,HT,1990,06,16,1845, 00010, , 
134381,00,QPCP,HT,1990,06,16,2500, 00220, , 
134381,00,QPCP,HT,1990,06,20,0030, 00050, , 
134381,00,QPCP,HT,1990,06,20,0045, 00030, , 
134381,00,QPCP,HT,1990,06,20,0200, 99999,{, 
